UtcTime,Computer,User,Platform,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-03-09 01:49:54.926,OPS-WS12,z.adams,windows,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE /select outlook:inbox,C:\Windows\explorer.exe,,,SHA256=1bc1ea7a517c63b40cd085408996ecbe170c86ea9fbddc487f9f4e4f9df24d4c
2026-03-09 02:25:44.653,HR-WS11,h.kim,windows,3,C:\Program Files\Microsoft OneDrive\OneDrive.exe,,C:\Windows\explorer.exe,13.107.136.10,443,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 02:26:35.730,HR-WS11,h.kim,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --processStart Teams.exe --client-process-id=4017,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 02:27:14.227,SALES-WS08,b.foster,windows,3,C:\Program Files\7-Zip\7z.exe,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,185.199.109.133,443,SHA256=e0fc9ee7e4bc539ac75bfefdf8b3caa44143b174b430962499e647a3672dfcc1
2026-03-09 02:28:25.158,FIN-WS27,a.velasquez,windows,1,C:\Program Files\7-Zip\7z.exe,7z.exe t C:\Corp\Archives\weekly.7z,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=e0fc9ee7e4bc539ac75bfefdf8b3caa44143b174b430962499e647a3672dfcc1
2026-03-09 02:47:50.378,MAC-DESIGN-03,w.hughes,macos,1,/usr/local/bin/npm,npm run build,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 02:49:29.708,MAC-DEV-09,t.owens,macos,1,/usr/bin/git,git log -5 --oneline,/bin/zsh,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 02:52:58.818,MAC-DEV-21,y.li,macos,3,/usr/bin/curl,,/bin/zsh,185.199.108.133,443,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 03:04:04.711,SEC-JUMP-01,l.chen,linux,3,/usr/bin/curl,,/usr/bin/bash,151.101.0.215,443,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 03:04:31.343,FIN-WS29,o.reed,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --type=gpu-process --client-process-id=4060,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 03:10:44.743,MAC-DEV-21,y.li,macos,1,/bin/bash,bash /opt/ops/healthcheck.sh,/bin/launchd,,,SHA256=0eee9c21e7c0c91b492d0d37eae98a356eccd892865c7fe969d426722f418051
2026-03-09 03:19:37.274,MAC-DEV-04,n.byrd,macos,1,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,Google Chrome --type=gpu-process --renderer-client-id=33,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,,,SHA256=1746480eef3bfb8e3d46c154b5f3552da3e9bc592ac772d89d7d83546f11da60
2026-03-09 03:23:08.149,SEC-JUMP-01,l.chen,linux,3,/usr/bin/python3,,/usr/lib/systemd/systemd,18.160.18.74,443,SHA256=f96e2e71ff6691e0e9d30388cd47368bec637f991188c84e778f51238c2c34a9
2026-03-09 03:23:26.471,SALES-WS19,f.martin,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --processStart Teams.exe --client-process-id=4031,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 03:26:38.611,FIN-WS33,v.ellis,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --processStart Teams.exe --client-process-id=4022,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 03:33:39.752,HR-WS17,r.cole,windows,1,C:\Windows\System32\cmd.exe,cmd.exe /c whoami /groups,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=c99d9b8907426d1d6083b09b48456b7beb29fb708bbe58bf561ceda71550677a
2026-03-09 03:33:58.423,FIN-WS33,v.ellis,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /client=OneDrive,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 03:50:05.087,SEC-JUMP-01,l.chen,linux,3,/usr/local/bin/aws,,/usr/bin/bash,52.94.180.22,443,SHA256=51e303fe27cd7f9096f839c0006866e61a83ef73f851858cd116f753cf5b7ea5
2026-03-09 03:53:04.585,HR-WS09,s.cho,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /background,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 03:55:05.053,RSCH-JUP-04,a.rahman,linux,1,/usr/bin/bash,bash -lc uptime,/usr/bin/systemd,,,SHA256=b44ac65d3ce91827472cf3ddc88198c20bc3946883b9670825db43a12947af8d
2026-03-09 04:01:09.573,MAC-DEV-21,y.li,macos,1,/usr/bin/git,git remote -v,/bin/zsh,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 04:09:58.798,MAC-DEV-04,n.byrd,macos,1,/bin/zsh,zsh -l,/System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow,,,SHA256=fa97ab687a1e940c34e8f212d5eeada169e3f33c1cc4d9eb7731b1964571c0e5
2026-03-09 04:22:54.927,MAC-DEV-04,n.byrd,macos,3,/usr/local/bin/node,,/usr/local/bin/npm,104.16.25.34,443,SHA256=f7cec9bbf90945a6385d7cd76ac64b577b5c1b6599a8a2f97d2c52f7b70c6ccb
2026-03-09 04:24:24.372,FIN-WS33,v.ellis,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /background,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 04:24:37.047,MAC-DEV-21,y.li,macos,1,/usr/local/bin/npm,npm audit --omit=dev,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 04:25:06.562,MAC-DEV-09,t.owens,macos,1,/bin/bash,bash /opt/ops/healthcheck.sh,/bin/launchd,,,SHA256=0eee9c21e7c0c91b492d0d37eae98a356eccd892865c7fe969d426722f418051
2026-03-09 04:26:45.024,HR-WS09,s.cho,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /background,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 04:27:12.451,RSCH-JUP-04,a.rahman,linux,1,/usr/bin/git,git log -5 --oneline,/usr/bin/bash,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 04:37:24.864,FIN-WS27,a.velasquez,windows,1,C:\Windows\System32\svchost.exe,svchost.exe -k NetworkService -p,C:\Windows\System32\services.exe,,,SHA256=67b51efbb6a06896419de7bb308859adb23fdad0879a27c403c87072e16e6ebf
2026-03-09 04:59:48.044,MAC-OPS-02,c.nguyen,macos,1,/usr/local/bin/node,node ./scripts/lint.js,/usr/local/bin/npm,,,SHA256=f7cec9bbf90945a6385d7cd76ac64b577b5c1b6599a8a2f97d2c52f7b70c6ccb
2026-03-09 05:21:25.799,OPS-WS12,z.adams,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /background,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 05:28:32.814,HR-WS17,r.cole,windows,3,C:\Program Files\7-Zip\7z.exe,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,17.253.144.21,443,SHA256=e0fc9ee7e4bc539ac75bfefdf8b3caa44143b174b430962499e647a3672dfcc1
2026-03-09 05:38:46.284,MAC-DEV-14,u.shah,macos,1,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,Google Chrome --type=utility --utility-sub-type=network.mojom.NetworkService --renderer-client-id=15,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,,,SHA256=1746480eef3bfb8e3d46c154b5f3552da3e9bc592ac772d89d7d83546f11da60
2026-03-09 05:39:45.993,MAC-DESIGN-03,w.hughes,macos,1,/bin/zsh,zsh -c pwd,/System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow,,,SHA256=fa97ab687a1e940c34e8f212d5eeada169e3f33c1cc4d9eb7731b1964571c0e5
2026-03-09 05:46:17.327,SEC-JUMP-01,l.chen,linux,1,/usr/bin/containerd-shim-runc-v2,containerd-shim-runc-v2 containerd-shim-runc-v2 -namespace k8s.io,/usr/bin/containerd,,,SHA256=a23168a43f214f3b18407ef9a6bbc52ae78a6c88bf2d782d391840f2429ea5cf
2026-03-09 05:51:29.196,MAC-OPS-02,c.nguyen,macos,1,/usr/bin/curl,curl -sS https://status.github.com/api/status.json,/bin/zsh,,,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 06:02:06.543,FIN-WS16,q.turner,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /client=OneDrive,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 06:04:37.713,MAC-DEV-14,u.shah,macos,1,/usr/local/bin/npm,npm view react version,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 06:23:16.124,FIN-WS29,o.reed,windows,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE /embedding,C:\Windows\explorer.exe,,,SHA256=1bc1ea7a517c63b40cd085408996ecbe170c86ea9fbddc487f9f4e4f9df24d4c
2026-03-09 06:42:01.850,MAC-DEV-19,d.chen,macos,1,/usr/bin/curl,curl -sS https://status.github.com/api/status.json,/bin/zsh,,,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 06:45:13.637,MAC-DESIGN-03,w.hughes,macos,1,/usr/bin/git,git status --short,/bin/zsh,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 06:46:54.184,HR-WS09,s.cho,windows,1,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe --type=utility --utility-sub-type=network.mojom.NetworkService --renderer-client-id=38,C:\Program Files\Google\Chrome\Application\chrome.exe,,,SHA256=77009e7fea4910b7cc067dba3daf02d8722756a959f373cf04d0e8f372894cfb
2026-03-09 07:03:17.340,MAC-OPS-02,c.nguyen,macos,1,/usr/bin/git,git status --short,/bin/zsh,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 07:06:15.460,BLD-RUN-02,build-bot,linux,1,/usr/bin/python3,python3 -m pip check,/usr/lib/systemd/systemd,,,SHA256=f96e2e71ff6691e0e9d30388cd47368bec637f991188c84e778f51238c2c34a9
2026-03-09 07:19:59.522,FIN-WS18,d.holt,windows,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE /recycle,C:\Windows\explorer.exe,,,SHA256=1bc1ea7a517c63b40cd085408996ecbe170c86ea9fbddc487f9f4e4f9df24d4c
2026-03-09 07:28:55.930,HR-WS11,h.kim,windows,1,C:\Program Files\7-Zip\7z.exe,7z.exe t C:\Corp\Archives\weekly.7z,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=e0fc9ee7e4bc539ac75bfefdf8b3caa44143b174b430962499e647a3672dfcc1
2026-03-09 07:52:55.486,OPS-WS05,g.brooks,windows,1,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /update,C:\Windows\explorer.exe,,,SHA256=3b8bb2c649181b01535b8714dfbcfd51ef06e4380686941dff1abfc40d3924ef
2026-03-09 07:58:23.369,BLD-RUN-03,build-bot,linux,1,/usr/bin/containerd-shim-runc-v2,containerd-shim-runc-v2 containerd-shim-runc-v2 -namespace k8s.io,/usr/bin/containerd,,,SHA256=a23168a43f214f3b18407ef9a6bbc52ae78a6c88bf2d782d391840f2429ea5cf
2026-03-09 08:28:26.959,RSCH-JUP-03,j.mercer,linux,3,/usr/local/bin/aws,,/usr/bin/bash,52.92.128.17,443,SHA256=51e303fe27cd7f9096f839c0006866e61a83ef73f851858cd116f753cf5b7ea5
2026-03-09 08:28:49.766,RSCH-JUP-03,j.mercer,linux,1,/usr/local/bin/aws,aws sts get-caller-identity,/usr/bin/bash,,,SHA256=51e303fe27cd7f9096f839c0006866e61a83ef73f851858cd116f753cf5b7ea5
2026-03-09 08:29:05.262,FIN-WS27,a.velasquez,windows,1,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe --type=renderer --renderer-client-id=9,C:\Program Files\Google\Chrome\Application\chrome.exe,,,SHA256=77009e7fea4910b7cc067dba3daf02d8722756a959f373cf04d0e8f372894cfb
2026-03-09 08:29:57.523,FIN-WS29,o.reed,windows,1,C:\Program Files\7-Zip\7z.exe,7z.exe l C:\Downloads\vendor_bundle.7z,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=e0fc9ee7e4bc539ac75bfefdf8b3caa44143b174b430962499e647a3672dfcc1
2026-03-09 08:37:55.068,FIN-WS18,d.holt,windows,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -NoProfile -File C:\Corp\Scripts\MapDrives.ps1,C:\Windows\System32\userinit.exe,,,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
2026-03-09 08:42:55.037,SALES-WS22,n.ortiz,windows,1,C:\Program Files\7-Zip\7z.exe,7z.exe t C:\Corp\Archives\weekly.7z,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=e0fc9ee7e4bc539ac75bfefdf8b3caa44143b174b430962499e647a3672dfcc1
2026-03-09 08:52:02.389,BLD-RUN-03,build-bot,linux,3,/usr/bin/python3,,/usr/lib/systemd/systemd,13.225.63.44,443,SHA256=f96e2e71ff6691e0e9d30388cd47368bec637f991188c84e778f51238c2c34a9
2026-03-09 08:53:15.277,MAC-DEV-21,y.li,macos,3,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,74.112.186.145,443,SHA256=1746480eef3bfb8e3d46c154b5f3552da3e9bc592ac772d89d7d83546f11da60
2026-03-09 09:08:28.400,SALES-WS22,n.ortiz,windows,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,C:\Windows\System32\userinit.exe,170.114.10.12,443,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
2026-03-09 09:13:54.707,SALES-WS19,f.martin,windows,1,C:\Windows\System32\cmd.exe,cmd.exe /c ipconfig /all,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=c99d9b8907426d1d6083b09b48456b7beb29fb708bbe58bf561ceda71550677a
2026-03-09 09:15:20.334,FIN-WS29,o.reed,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --type=gpu-process --client-process-id=4051,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 09:20:15.136,MAC-DEV-17,r.kapoor,macos,3,/usr/local/bin/node,,/usr/local/bin/npm,140.82.113.4,443,SHA256=f7cec9bbf90945a6385d7cd76ac64b577b5c1b6599a8a2f97d2c52f7b70c6ccb
2026-03-09 09:24:16.164,OPS-WS05,g.brooks,windows,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,C:\Windows\System32\userinit.exe,34.149.100.209,443,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
2026-03-09 09:31:31.967,MAC-DEV-06,i.patel,macos,1,/usr/local/bin/npm,npm audit --omit=dev,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 09:42:04.177,SALES-WS08,b.foster,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --type=renderer --client-process-id=4011,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 10:06:06.397,MAC-DEV-04,n.byrd,macos,3,/usr/local/bin/node,,/usr/local/bin/npm,140.82.113.5,443,SHA256=f7cec9bbf90945a6385d7cd76ac64b577b5c1b6599a8a2f97d2c52f7b70c6ccb
2026-03-09 10:06:09.189,RSCH-JUP-04,a.rahman,linux,3,/usr/bin/git,,/usr/bin/bash,140.82.112.5,443,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 10:10:36.718,SALES-WS14,p.garcia,windows,3,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,,C:\Windows\explorer.exe,40.97.153.18,443,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 10:14:40.579,SALES-WS19,f.martin,windows,1,C:\Windows\System32\cmd.exe,cmd.exe /c whoami /groups,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=c99d9b8907426d1d6083b09b48456b7beb29fb708bbe58bf561ceda71550677a
2026-03-09 10:24:53.409,HR-WS17,r.cole,windows,1,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,ms-teams.exe --processStart Teams.exe --client-process-id=4082,C:\Windows\explorer.exe,,,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 10:36:33.666,BLD-RUN-02,build-bot,linux,1,/usr/bin/git,git fetch origin,/usr/bin/bash,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 10:50:59.270,OPS-WS05,g.brooks,windows,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE /recycle,C:\Windows\explorer.exe,,,SHA256=1bc1ea7a517c63b40cd085408996ecbe170c86ea9fbddc487f9f4e4f9df24d4c
2026-03-09 11:13:15.074,MAC-DEV-21,y.li,macos,1,/bin/zsh,zsh -l,/System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow,,,SHA256=fa97ab687a1e940c34e8f212d5eeada169e3f33c1cc4d9eb7731b1964571c0e5
2026-03-09 11:13:25.433,FIN-WS27,a.velasquez,windows,1,C:\Windows\System32\cmd.exe,cmd.exe /c ipconfig /all,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=c99d9b8907426d1d6083b09b48456b7beb29fb708bbe58bf561ceda71550677a
2026-03-09 11:19:04.928,MAC-DEV-19,d.chen,macos,1,/usr/bin/git,git fetch origin,/bin/zsh,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 11:22:14.789,MAC-DEV-14,u.shah,macos,1,/usr/local/bin/npm,npm view react version,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 11:23:53.665,RSCH-JUP-04,a.rahman,linux,3,/usr/bin/git,,/usr/bin/bash,140.82.112.5,443,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 11:31:47.520,FIN-WS18,d.holt,windows,1,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe --type=utility --utility-sub-type=network.mojom.NetworkService --renderer-client-id=29,C:\Program Files\Google\Chrome\Application\chrome.exe,,,SHA256=77009e7fea4910b7cc067dba3daf02d8722756a959f373cf04d0e8f372894cfb
2026-03-09 11:32:23.033,RSCH-JUP-03,j.mercer,linux,1,/usr/bin/curl,curl -I https://registry.npmjs.org/,/usr/bin/bash,,,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 11:32:57.683,SEC-JUMP-01,l.chen,linux,1,/usr/local/bin/kubectl,kubectl get nodes,/usr/bin/bash,,,SHA256=08d701abe45ab0fc4343c8c0304cd5ff951f0049ea3b19379daeceaa4145ddd4
2026-03-09 11:34:43.651,MAC-DEV-09,t.owens,macos,1,/usr/local/bin/npm,npm view react version,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 11:47:45.201,HR-WS17,r.cole,windows,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE /select outlook:inbox,C:\Windows\explorer.exe,,,SHA256=1bc1ea7a517c63b40cd085408996ecbe170c86ea9fbddc487f9f4e4f9df24d4c
2026-03-09 11:48:54.692,FIN-WS16,q.turner,windows,1,C:\Windows\System32\svchost.exe,svchost.exe -k LocalServiceNetworkRestricted -p,C:\Windows\System32\services.exe,,,SHA256=67b51efbb6a06896419de7bb308859adb23fdad0879a27c403c87072e16e6ebf
2026-03-09 11:54:35.273,SEC-JUMP-01,l.chen,linux,1,/usr/bin/curl,curl -sS https://status.github.com/api/status.json,/usr/bin/bash,,,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 12:03:01.724,RSCH-JUP-03,j.mercer,linux,1,/usr/bin/bash,bash -lc uptime,/usr/bin/systemd,,,SHA256=b44ac65d3ce91827472cf3ddc88198c20bc3946883b9670825db43a12947af8d
2026-03-09 12:10:37.096,FIN-WS24,x.wright,windows,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -NoProfile -File C:\Corp\Scripts\Inventory.ps1,C:\Windows\System32\userinit.exe,,,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
2026-03-09 12:32:08.847,FIN-WS33,v.ellis,windows,1,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs -p,C:\Windows\System32\services.exe,,,SHA256=67b51efbb6a06896419de7bb308859adb23fdad0879a27c403c87072e16e6ebf
2026-03-09 12:33:46.860,HR-WS11,h.kim,windows,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,C:\Windows\System32\userinit.exe,17.253.144.10,443,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
