ts,client,client_ip,query,type,response,rcode,latency_ms
2026-03-09T04:47:43.407Z,FIN-WS24,10.24.18.116,login.microsoftonline.com,A,20.190.128.25,NOERROR,5
2026-03-09T04:49:57.384Z,HR-WS11,10.31.9.58,login.microsoftonline.com,A,20.190.128.25,NOERROR,91
2026-03-09T04:57:16.717Z,FIN-WS22,10.24.18.41,login.microsoftonline.com,A,20.190.128.25,NOERROR,12
2026-03-09T05:06:27.374Z,SALES-WS08,10.42.7.72,sharepoint.com,A,13.107.137.10,NOERROR,4
2026-03-09T05:07:17.515Z,MAC-DEV-06,10.88.44.75,sts.us-west-2.amazonaws.com,A,52.94.177.11,NOERROR,17
2026-03-09T05:13:04.132Z,SALES-WS19,10.42.7.86,cdn.slack.com,A,18.160.10.83,NOERROR,26
2026-03-09T05:13:13.529Z,RSCH-JUP-03,10.55.72.9,slack.com,A,34.149.100.209,NOERROR,54
2026-03-09T05:13:34.578Z,MAC-DEV-12,10.88.44.64,docs.google.com,A,142.250.72.110,NOERROR,2
2026-03-09T05:28:39.487Z,OPS-WS12,10.8.12.68,swcdn.apple.com,A,17.253.144.20,NOERROR,18
2026-03-09T05:38:55.010Z,SALES-WS08,10.42.7.72,registry-1.docker.io,A,34.194.164.123,NOERROR,10
2026-03-09T05:39:24.815Z,FIN-WS29,10.24.18.92,pypi.org,A,151.101.0.223,NOERROR,41
2026-03-09T05:42:11.610Z,RSCH-JUP-04,10.55.72.10,docker.io,A,34.194.164.123,NOERROR,8
2026-03-09T05:44:00.398Z,MAC-OPS-02,10.88.44.53,files.pythonhosted.org,A,151.101.65.63,NOERROR,6
2026-03-09T05:44:46.597Z,SALES-WS08,10.42.7.72,ocsp.digicert.com,A,93.184.220.30,NOERROR,10
2026-03-09T05:49:19.749Z,SALES-WS14,10.42.7.61,wiki.halcyonmeridian.com,A,10.8.12.30,NOERROR,6
2026-03-09T05:51:09.562Z,OPS-WS12,10.8.12.68,portal.office.com,A,13.107.9.171,NOERROR,9
2026-03-09T05:57:46.866Z,RSCH-JUP-03,10.55.72.9,slack.com,A,34.120.177.193,NOERROR,26
2026-03-09T06:09:33.605Z,MAC-DEV-14,10.88.44.108,cdn.slack.com,A,18.160.10.14,NOERROR,5
2026-03-09T06:16:17.355Z,SALES-WS19,10.42.7.86,github.com,A,140.82.112.4,NOERROR,32
2026-03-09T06:24:54.293Z,FIN-WS33,10.24.18.84,files.pythonhosted.org,A,151.101.1.63,NOERROR,2
2026-03-09T06:25:48.000Z,MAC-OPS-02,10.88.44.53,api.github.com,A,140.82.113.5,NOERROR,4
2026-03-09T06:26:52.904Z,BLD-RUN-02,10.8.4.19,files.pythonhosted.org,A,151.101.65.63,NOERROR,15
2026-03-09T06:28:29.952Z,SALES-WS22,10.42.7.97,gist.githubusercontent.com,A,185.199.109.133,NOERROR,11
2026-03-09T06:30:41.487Z,FIN-WS18,10.24.18.73,docs.aws.amazon.com,A,18.160.18.74,NOERROR,3
2026-03-09T06:39:16.116Z,HR-WS09,10.31.9.44,sts.us-west-2.amazonaws.com,A,52.94.176.11,NOERROR,21
2026-03-09T06:48:32.740Z,FIN-WS27,10.24.18.61,fs-internal-02.halcyonmeridian.com,A,10.24.2.18,NOERROR,22
2026-03-09T06:50:18.546Z,MAC-DEV-19,10.88.44.119,cdn.slack.com,A,18.160.10.14,NOERROR,62
2026-03-09T06:55:06.646Z,MAC-DEV-09,10.88.44.42,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,22
2026-03-09T07:03:15.191Z,OPS-WS05,10.8.12.55,brew.sh,A,185.199.109.153,NOERROR,32
2026-03-09T07:03:37.261Z,FIN-WS31,10.24.18.52,api.github.com,A,140.82.112.5,NOERROR,23
2026-03-09T07:05:40.264Z,OPS-WS12,10.8.12.68,api.github.com,A,140.82.113.5,NOERROR,14
2026-03-09T07:10:25.829Z,MAC-DEV-14,10.88.44.108,accounts.google.com,A,142.250.72.45,NOERROR,9
2026-03-09T07:17:36.370Z,MAC-DEV-17,10.88.44.17,gist.githubusercontent.com,A,185.199.109.133,NOERROR,2
2026-03-09T07:23:03.352Z,SALES-WS08,10.42.7.72,brew.sh,A,185.199.109.153,NOERROR,13
2026-03-09T07:44:56.759Z,MAC-DEV-14,10.88.44.108,zoom.us,A,170.114.52.2,NOERROR,13
2026-03-09T07:57:08.902Z,RSCH-JUP-03,10.55.72.9,windowsupdate.com,A,13.107.4.50,NOERROR,11
2026-03-09T08:03:08.351Z,OPS-WS05,10.8.12.55,docs.aws.amazon.com,A,18.160.18.74,NOERROR,5
2026-03-09T08:24:54.509Z,OPS-WS12,10.8.12.68,registry.npmjs.org,A,104.16.25.34,NOERROR,45
2026-03-09T08:33:28.946Z,OPS-WS12,10.8.12.68,outlook.office.com,A,40.97.153.18,NOERROR,19
2026-03-09T08:34:06.160Z,HR-WS17,10.31.9.76,gist.githubusercontent.com,A,185.199.109.133,NOERROR,27
2026-03-09T08:35:17.862Z,BLD-RUN-02,10.8.4.19,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,2
2026-03-09T08:35:49.818Z,MAC-DESIGN-03,10.88.44.86,sharepoint.com,A,13.107.136.10,NOERROR,31
2026-03-09T08:42:16.374Z,FIN-WS33,10.24.18.84,sharepoint.com,A,13.107.137.10,NOERROR,30
2026-03-09T08:54:23.420Z,FIN-WS16,10.24.18.104,docs.aws.amazon.com,A,18.160.18.74,NOERROR,16
2026-03-09T08:57:38.351Z,FIN-WS31,10.24.18.52,windowsupdate.com,A,13.107.4.50,NOERROR,32
2026-03-09T08:59:26.306Z,HR-WS09,10.31.9.44,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,13
2026-03-09T09:09:19.987Z,FIN-WS18,10.24.18.73,data.services.jetbrains.com,A,18.160.18.91,NOERROR,38
2026-03-09T09:10:14.399Z,MAC-DEV-06,10.88.44.75,brew.sh,A,185.199.108.153,NOERROR,16
2026-03-09T09:15:51.546Z,MAC-DESIGN-03,10.88.44.86,outlook.office.com,A,40.97.153.18,NOERROR,7
2026-03-09T09:16:30.081Z,MAC-DEV-09,10.88.44.42,eks.us-west-2.amazonaws.com,A,52.94.180.22,NOERROR,17
2026-03-09T09:19:12.479Z,OPS-WS12,10.8.12.68,zoom.us,A,170.114.52.2,NOERROR,2
2026-03-09T09:30:54.981Z,SALES-WS08,10.42.7.72,cdn.slack.com,A,18.160.10.14,NOERROR,45
2026-03-09T09:34:01.795Z,MAC-DEV-12,10.88.44.64,docs.aws.amazon.com,A,18.160.18.74,NOERROR,36
2026-03-09T09:36:16.860Z,SALES-WS19,10.42.7.86,ocsp.digicert.com,A,93.184.220.29,NOERROR,17
2026-03-09T09:37:36.712Z,FIN-WS22,10.24.18.41,gist.githubusercontent.com,A,185.199.108.133,NOERROR,14
2026-03-09T09:39:35.096Z,HR-WS17,10.31.9.76,windowsupdate.com,A,13.107.5.50,NOERROR,3
2026-03-09T09:45:48.980Z,FIN-WS18,10.24.18.73,api.box.com,A,74.112.186.145,NOERROR,27
2026-03-09T09:46:04.088Z,MAC-DESIGN-03,10.88.44.86,api.box.com,A,74.112.186.145,NOERROR,15
2026-03-09T09:50:36.016Z,FIN-WS27,10.24.18.61,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,21
2026-03-09T09:54:27.359Z,HR-WS11,10.31.9.58,docs.google.com,A,142.250.72.110,NOERROR,7
2026-03-09T09:54:38.106Z,MAC-DEV-09,10.88.44.42,drive.google.com,A,142.250.72.14,NOERROR,52
2026-03-09T09:55:06.021Z,SALES-WS08,10.42.7.72,api.box.com,A,74.112.186.144,NOERROR,2
2026-03-09T09:59:01.598Z,RSCH-JUP-03,10.55.72.9,outlook.office.com,A,40.97.153.18,NOERROR,5
2026-03-09T09:59:39.327Z,MAC-DEV-17,10.88.44.17,cdn.slack.com,A,18.160.10.14,NOERROR,3
2026-03-09T10:14:41.571Z,OPS-WS12,10.8.12.68,brew.sh,A,185.199.108.153,NOERROR,14
2026-03-09T10:20:34.634Z,MAC-DEV-06,10.88.44.75,docker.io,A,34.194.164.123,NOERROR,6
2026-03-09T10:31:37.611Z,SALES-WS22,10.42.7.97,grafana-stage.corp.halcyonmeridian.com,A,-,SERVFAIL,25
2026-03-09T10:34:26.746Z,SALES-WS22,10.42.7.97,registry.npmjs.org,A,104.16.24.34,NOERROR,4
2026-03-09T10:35:57.189Z,FIN-WS31,10.24.18.52,atlassian.net,A,104.192.142.18,NOERROR,2
2026-03-09T10:49:49.206Z,MAC-DEV-17,10.88.44.17,api.statuspage.io,A,104.192.143.25,NOERROR,3
2026-03-09T10:49:57.483Z,SALES-WS19,10.42.7.86,eks.us-west-2.amazonaws.com,A,52.94.181.22,NOERROR,12
2026-03-09T10:51:14.061Z,MAC-DEV-21,10.88.44.97,gitlab.halcyonmeridian.com,A,10.8.4.30,NOERROR,12
2026-03-09T10:53:40.935Z,RSCH-JUP-04,10.55.72.10,github.com,A,140.82.113.4,NOERROR,12
2026-03-09T10:54:49.523Z,FIN-WS22,10.24.18.41,gitlab.halcyonmeridian.com,A,10.8.4.30,NOERROR,2
2026-03-09T10:56:58.428Z,BLD-RUN-03,10.8.4.20,api.box.com,A,74.112.186.144,NOERROR,21
2026-03-09T11:03:47.543Z,BLD-RUN-02,10.8.4.19,docs.aws.amazon.com,A,18.160.18.12,NOERROR,22
2026-03-09T11:10:10.214Z,MAC-DEV-21,10.88.44.97,gitlab.halcyonmeridian.com,A,10.8.4.30,NOERROR,33
2026-03-09T11:10:10.888Z,MAC-DEV-04,10.88.44.31,build-cache-west.corp.halcyonmeridian.com,A,-,NXDOMAIN,54
2026-03-09T11:19:25.014Z,FIN-WS33,10.24.18.84,raw.githubusercontent.com,A,185.199.108.133,NOERROR,42
2026-03-09T11:21:46.271Z,FIN-WS31,10.24.18.52,gist.githubusercontent.com,A,185.199.108.133,NOERROR,73
2026-03-09T11:24:16.061Z,MAC-DEV-14,10.88.44.108,registry-1.docker.io,A,34.194.164.123,NOERROR,3
2026-03-09T11:28:04.260Z,MAC-DEV-04,10.88.44.31,crl.microsoft.com,A,23.53.35.17,NOERROR,35
2026-03-09T11:32:56.365Z,SALES-WS22,10.42.7.97,swcdn.apple.com,A,17.253.144.20,NOERROR,3
2026-03-09T11:41:58.426Z,MAC-DEV-14,10.88.44.108,outlook.office.com,A,40.97.153.18,NOERROR,21
2026-03-09T11:52:57.036Z,HR-WS17,10.31.9.76,gist.githubusercontent.com,A,185.199.109.133,NOERROR,15
2026-03-09T12:07:39.107Z,FIN-WS27,10.24.18.61,brew.sh,A,185.199.108.153,NOERROR,6
2026-03-09T12:08:40.765Z,HR-WS11,10.31.9.58,sts.us-west-2.amazonaws.com,A,52.94.176.11,NOERROR,2
2026-03-09T12:17:18.217Z,HR-WS09,10.31.9.44,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,11
2026-03-09T12:17:23.993Z,HR-WS17,10.31.9.76,docs.google.com,A,142.250.72.78,NOERROR,6
2026-03-09T12:23:40.636Z,BLD-RUN-03,10.8.4.20,api.zoom.us,A,170.114.10.12,NOERROR,7
2026-03-09T12:42:52.157Z,MAC-DEV-14,10.88.44.108,swcdn.apple.com,A,17.253.144.21,NOERROR,21
2026-03-09T12:44:07.776Z,OPS-WS05,10.8.12.55,api.zoom.us,A,170.114.10.11,NOERROR,17
2026-03-09T12:44:17.884Z,FIN-WS31,10.24.18.52,docs.google.com,A,142.250.72.110,NOERROR,8
2026-03-09T12:53:59.658Z,RSCH-JUP-03,10.55.72.9,graph.microsoft.com,A,20.190.128.11,NOERROR,12
2026-03-09T12:56:23.608Z,MAC-DEV-04,10.88.44.31,windowsupdate.com,A,13.107.4.50,NOERROR,45
2026-03-09T12:57:46.028Z,HR-WS11,10.31.9.58,docs.aws.amazon.com,A,18.160.18.12,NOERROR,28
2026-03-09T12:58:14.360Z,OPS-WS12,10.8.12.68,registry-1.docker.io,A,34.194.164.123,NOERROR,12
2026-03-09T12:58:24.531Z,MAC-OPS-02,10.88.44.53,windowsupdate.com,A,13.107.4.50,NOERROR,18
2026-03-09T13:00:08.096Z,BLD-RUN-02,10.8.4.19,ocsp.digicert.com,A,93.184.220.30,NOERROR,6
2026-03-09T13:00:53.312Z,SALES-WS08,10.42.7.72,gist.githubusercontent.com,A,185.199.108.133,NOERROR,20
2026-03-09T13:01:40.561Z,OPS-WS12,10.8.12.68,brew.sh,A,185.199.109.153,NOERROR,5
2026-03-09T13:01:48.301Z,HR-WS17,10.31.9.76,registry-1.docker.io,A,34.194.164.123,NOERROR,6
2026-03-09T13:02:15.453Z,MAC-DEV-19,10.88.44.119,objects.githubusercontent.com,A,185.199.109.133,NOERROR,19
2026-03-09T13:02:20.008Z,FIN-WS33,10.24.18.84,brew.sh,A,185.199.109.153,NOERROR,9
2026-03-09T13:02:58.345Z,FIN-WS16,10.24.18.104,cdn.slack.com,A,18.160.10.83,NOERROR,2
2026-03-09T13:03:26.854Z,RSCH-JUP-03,10.55.72.9,crl.microsoft.com,A,23.53.35.17,NOERROR,18
2026-03-09T13:03:30.261Z,SALES-WS08,10.42.7.72,login.microsoftonline.com,A,20.190.128.26,NOERROR,10
2026-03-09T13:03:36.271Z,MAC-DEV-21,10.88.44.97,sharepoint.com,A,13.107.136.10,NOERROR,3
2026-03-09T13:03:46.043Z,MAC-DEV-04,10.88.44.31,wiki.halcyonmeridian.com,A,10.8.12.30,NOERROR,57
2026-03-09T13:04:08.364Z,FIN-WS27,10.24.18.61,console.aws.amazon.com,A,54.239.28.85,NOERROR,16
2026-03-09T13:04:14.539Z,MAC-DEV-04,10.88.44.31,brew.sh,A,185.199.108.153,NOERROR,36
2026-03-09T13:04:22.287Z,RSCH-JUP-03,10.55.72.9,fs-internal-02.halcyonmeridian.com,A,10.24.2.18,NOERROR,10
2026-03-09T13:04:34.624Z,MAC-DESIGN-03,10.88.44.86,windowsupdate.com,A,13.107.5.50,NOERROR,4
2026-03-09T13:04:51.792Z,MAC-DEV-06,10.88.44.75,raw.githubusercontent.com,A,185.199.109.133,NOERROR,31
2026-03-09T13:04:56.344Z,MAC-DEV-17,10.88.44.17,ssm.us-west-2.amazonaws.com,A,52.94.184.30,NOERROR,8
2026-03-09T13:05:51.046Z,MAC-DESIGN-03,10.88.44.86,apple.com,A,17.253.144.11,NOERROR,6
2026-03-09T13:06:21.828Z,MAC-DEV-06,10.88.44.75,license-jetbrains.corp.halcyonmeridian.com,A,-,NXDOMAIN,26
2026-03-09T13:06:44.237Z,MAC-DESIGN-03,10.88.44.86,drive.google.com,A,142.250.72.46,NOERROR,20
2026-03-09T13:07:00.385Z,MAC-DEV-06,10.88.44.75,fs-internal-02.halcyonmeridian.com,A,10.24.2.18,NOERROR,15
2026-03-09T13:07:07.178Z,MAC-DESIGN-03,10.88.44.86,api.github.com,A,140.82.112.5,NOERROR,6
2026-03-09T13:07:10.927Z,MAC-DEV-12,10.88.44.64,objects.githubusercontent.com,A,185.199.109.133,NOERROR,7
2026-03-09T13:07:29.612Z,MAC-DEV-06,10.88.44.75,raw.githubusercontent.com,A,185.199.109.133,NOERROR,10
2026-03-09T13:07:48.875Z,FIN-WS16,10.24.18.104,atlassian.net,A,104.192.142.18,NOERROR,4
2026-03-09T13:08:49.088Z,MAC-DEV-04,10.88.44.31,ssm.us-west-2.amazonaws.com,A,52.94.185.30,NOERROR,6
2026-03-09T13:09:21.349Z,FIN-WS33,10.24.18.84,gist.githubusercontent.com,A,185.199.108.133,NOERROR,6
2026-03-09T13:09:30.280Z,FIN-WS16,10.24.18.104,graph.microsoft.com,A,20.190.128.12,NOERROR,4
2026-03-09T13:09:40.743Z,HR-WS17,10.31.9.76,api.zoom.us,A,170.114.10.12,NOERROR,2
2026-03-09T13:09:43.123Z,HR-WS09,10.31.9.44,halcyonmeridian.box.com,A,74.112.186.55,NOERROR,4
2026-03-09T13:10:39.596Z,FIN-WS16,10.24.18.104,api.statuspage.io,A,104.192.142.25,NOERROR,5
2026-03-09T13:10:52.507Z,MAC-DEV-09,10.88.44.42,accounts.google.com,A,142.250.72.45,NOERROR,17
2026-03-09T13:11:00.456Z,SALES-WS08,10.42.7.72,ssm.us-west-2.amazonaws.com,A,52.94.184.30,NOERROR,17
2026-03-09T13:11:02.718Z,SALES-WS08,10.42.7.72,sts.us-west-2.amazonaws.com,A,52.94.176.11,NOERROR,4
2026-03-09T13:12:48.337Z,MAC-DEV-21,10.88.44.97,windowsupdate.com,A,13.107.4.50,NOERROR,8
2026-03-09T13:12:54.285Z,BLD-RUN-02,10.8.4.19,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,11
2026-03-09T13:13:26.158Z,MAC-DEV-12,10.88.44.64,registry-1.docker.io,A,44.208.254.194,NOERROR,21
2026-03-09T13:13:26.472Z,HR-WS17,10.31.9.76,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,2
2026-03-09T13:13:56.882Z,HR-WS09,10.31.9.44,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,11
2026-03-09T13:14:39.969Z,RSCH-JUP-04,10.55.72.10,swcdn.apple.com,A,17.253.144.21,NOERROR,2
2026-03-09T13:16:30.670Z,HR-WS09,10.31.9.44,portal.office.com,A,13.107.9.171,NOERROR,25
2026-03-09T13:16:33.072Z,MAC-DEV-12,10.88.44.64,wiki.halcyonmeridian.com,A,10.8.12.30,NOERROR,21
2026-03-09T13:16:33.104Z,RSCH-JUP-04,10.55.72.10,drive.google.com,A,142.250.72.46,NOERROR,2
2026-03-09T13:17:04.231Z,SALES-WS19,10.42.7.86,objects.githubusercontent.com,A,185.199.109.133,NOERROR,25
2026-03-09T13:20:23.500Z,MAC-DEV-21,10.88.44.97,slack.com,A,34.149.100.209,NOERROR,3
2026-03-09T13:20:55.603Z,SEC-JUMP-01,10.3.8.12,github.com,A,140.82.113.4,NOERROR,10
2026-03-09T13:21:34.126Z,FIN-WS27,10.24.18.61,docker.io,A,34.194.164.123,NOERROR,3
2026-03-09T13:22:05.517Z,SALES-WS08,10.42.7.72,crl.microsoft.com,A,23.53.35.17,NOERROR,5
2026-03-09T13:22:27.650Z,RSCH-JUP-03,10.55.72.9,upload.box.com,A,74.112.186.65,NOERROR,25
2026-03-09T13:23:21.764Z,MAC-DEV-09,10.88.44.42,cdn.slack.com,A,18.160.10.14,NOERROR,4
2026-03-09T13:23:43.939Z,FIN-WS33,10.24.18.84,docs.aws.amazon.com,A,18.160.18.74,NOERROR,4
2026-03-09T13:24:03.684Z,MAC-DEV-04,10.88.44.31,graph.microsoft.com,A,20.190.128.12,NOERROR,12
2026-03-09T13:24:11.291Z,BLD-RUN-02,10.8.4.19,gist.githubusercontent.com,A,185.199.109.133,NOERROR,20
2026-03-09T13:24:16.396Z,FIN-WS22,10.24.18.41,docker.io,A,34.194.164.123,NOERROR,5
2026-03-09T13:24:52.036Z,MAC-DESIGN-03,10.88.44.86,accounts.google.com,A,142.250.72.13,NOERROR,10
2026-03-09T13:25:37.106Z,MAC-DEV-14,10.88.44.108,ssm.us-west-2.amazonaws.com,A,52.94.184.30,NOERROR,29
2026-03-09T13:25:53.403Z,MAC-DEV-12,10.88.44.64,gitlab.halcyonmeridian.com,A,10.8.4.30,NOERROR,24
2026-03-09T13:26:01.539Z,MAC-DESIGN-03,10.88.44.86,drive.google.com,A,142.250.72.14,NOERROR,19
2026-03-09T13:26:16.918Z,RSCH-JUP-04,10.55.72.10,jenkins-retired.corp.halcyonmeridian.com,A,-,NXDOMAIN,38
2026-03-09T13:26:55.995Z,MAC-DEV-09,10.88.44.42,eks.us-west-2.amazonaws.com,A,52.94.181.22,NOERROR,3
2026-03-09T13:27:11.877Z,SALES-WS19,10.42.7.86,drive.google.com,A,142.250.72.14,NOERROR,17
2026-03-09T13:27:24.339Z,RSCH-JUP-03,10.55.72.9,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,17
2026-03-09T13:27:58.260Z,HR-WS09,10.31.9.44,accounts.google.com,A,142.250.72.13,NOERROR,8
2026-03-09T13:28:13.431Z,SEC-JUMP-01,10.3.8.12,api.github.com,A,140.82.113.5,NOERROR,2
2026-03-09T13:28:19.218Z,OPS-WS05,10.8.12.55,teams-cache.corp.halcyonmeridian.com,A,-,SERVFAIL,27
2026-03-09T13:28:33.003Z,BLD-RUN-03,10.8.4.20,registry.npmjs.org,A,104.16.24.34,NOERROR,5
2026-03-09T13:28:33.743Z,OPS-WS12,10.8.12.68,crl.microsoft.com,A,23.53.35.18,NOERROR,5
2026-03-09T13:29:04.825Z,BLD-RUN-02,10.8.4.19,api.box.com,A,74.112.186.145,NOERROR,18
2026-03-09T13:29:21.645Z,MAC-DEV-09,10.88.44.42,api.box.com,A,74.112.186.145,NOERROR,12
2026-03-09T13:29:24.892Z,FIN-WS33,10.24.18.84,apple.com,A,17.253.144.10,NOERROR,52
2026-03-09T13:29:34.597Z,MAC-DEV-19,10.88.44.119,eks.us-west-2.amazonaws.com,A,52.94.180.22,NOERROR,8
2026-03-09T13:29:38.321Z,FIN-WS29,10.24.18.92,outlook.office.com,A,40.97.153.18,NOERROR,5
2026-03-09T13:30:54.014Z,MAC-DEV-06,10.88.44.75,slack.com,A,34.120.177.193,NOERROR,25
2026-03-09T13:30:59.423Z,MAC-DEV-17,10.88.44.17,outlook.office.com,A,40.97.153.18,NOERROR,10
2026-03-09T13:31:32.194Z,SALES-WS22,10.42.7.97,ssm.us-west-2.amazonaws.com,A,52.94.184.30,NOERROR,6
2026-03-09T13:31:33.515Z,FIN-WS24,10.24.18.116,files.pythonhosted.org,A,151.101.1.63,NOERROR,15
2026-03-09T13:32:17.602Z,BLD-RUN-02,10.8.4.19,grafana-stage.corp.halcyonmeridian.com,A,-,SERVFAIL,13
2026-03-09T13:32:32.821Z,OPS-WS12,10.8.12.68,docker.io,A,34.194.164.123,NOERROR,4
2026-03-09T13:33:45.439Z,MAC-DEV-04,10.88.44.31,files.pythonhosted.org,A,151.101.65.63,NOERROR,18
2026-03-09T13:34:19.066Z,OPS-WS12,10.8.12.68,atlassian.net,A,104.192.143.18,NOERROR,9
